Unique URLs 4300 of 6024,URLs Without assets|docs|images|media|includes: 4098,URLs without assets or query strings: 2823,"Clean URLs (no assets, no queries, canonicalized): 209",Remaining URLs with query string: 1275 | templatedata matches: 1136,Normalized URLs: 2822,Unnecessary RBCCM/ In URL: 302,"EN: 3597, FR: 17, JP: 3",Where?,Articles/Transactions/Transcripts (876)
https://www.rbccm.com/api/v1.0/adclick?d=IAAAAAAgAAA6X1tPSEdGW1ZaWFdIR0dWSldVTUtUXV5AT0tFW1JcX15BTkVXSUVWTUNRVVJERENGUlhTWlZCQkFcQURaQUBYXFNJTE1FWVRfX1hLS09QSklSRktUX15AS0tAVFdVUlhIRFhTOxBNFQgRCxEcGBw3GQIrBQQbHxEFXlQyFRwADRcwHAMAKg4ADyQVFE5BHxUZQVxFDQwcChUaHVVOX0lZNSQgLTEvMTIpKydRQEdJXllAWFBXQkNXXE1CSE1VTVJCRERFWl5NWlREQk1SSkBWQ1NUXF5DSkJBWV5XX1ZaRUVcQkUCQhVRWwdfG0EQDEJaWgNBXk1VQhVMRklWWFYXQRZDWw5dSFRKQ0lVUUVSTUNUXVpDSkVEXUxfX1hNQkFTR0FTSEFGX1pPGh8ZRwkbDApXBBsWUUZSTURUXVJRS0dJWUFeWlBIQkxCQExcOT01PCYhKjk7J0xdWlgrOjcpLSAkKCRGXVFPKyQ2Nik7JykmIDczNzEvU0NRUxMHGx4VHQYYDkZKREkFGwI%2BHhERBxUXJgAVGxsADhcmQEZRKkBZQFNdXl5DQENMXVhdSFZATjkuMD0tNVNRWF4iND04OxsMKDU0JxESBjZCQUJSUwAAHBEAABkLKBUULAARLQQOBxUXTVJAQU1HSl5cUlhNS0FZSEBSRkdXWldETy9DW19NX1JEITEmPzslNTxGWltPTUBaXV5cWkZMQ0kgPDAzPzkhTVZARDc1JCoxPCorN1dURElMSEdLXlRFQFNBXlJdXEtORkdZUUJRTScsKCpRT0NJXV9eWUZPRkkzJjZCRkdYX1BcT0JEWUxfWlREFRUNARFCR0BYCRYBDR9aCgADSFJBTkdTQldWSU1RVlNRQElJAAEcSFRJR0lQQVpXQUBVTVRFREFaWUxfVlJPERZTFBYCXRIDClBfTUI,https://www.rbccm.com/api/v1.0/adclick?d=IAAAAAAgAAA6X1tPSEdGW1ZaWFdIR0dWSldVTUtUXV5AT0tFW1JcX15BTkVXSUVWTUNRVVJERENGUlhTWlZCQkFcQURaQUBYXFNJTE1FWVRfX1hLS09QSklSRktUX15AS0tAVFdVUlhIRFhTOxBNFQgRCxEcGBw3GQIrBQQbHxEFXlQyFRwADRcwHAMAKg4ADyQVFE5BHxUZQVxFDQwcChUaHVVOX0lZNSQgLTEvMTIpKydRQEdJXllAWFBXQkNXXE1CSE1VTVJCRERFWl5NWlREQk1SSkBWQ1NUXF5DSkJBWV5XX1ZaRUVcQkUCQhVRWwdfG0EQDEJaWgNBXk1VQhVMRklWWFYXQRZDWw5dSFRKQ0lVUUVSTUNUXVpDSkVEXUxfX1hNQkFTR0FTSEFGX1pPGh8ZRwkbDApXBBsWUUZSTURUXVJRS0dJWUFeWlBIQkxCQExcOT01PCYhKjk7J0xdWlgrOjcpLSAkKCRGXVFPKyQ2Nik7JykmIDczNzEvU0NRUxMHGx4VHQYYDkZKREkFGwI%2BHhERBxUXJgAVGxsADhcmQEZRKkBZQFNdXl5DQENMXVhdSFZATjkuMD0tNVNRWF4iND04OxsMKDU0JxESBjZCQUJSUwAAHBEAABkLKBUULAARLQQOBxUXTVJAQU1HSl5cUlhNS0FZSEBSRkdXWldETy9DW19NX1JEITEmPzslNTxGWltPTUBaXV5cWkZMQ0kgPDAzPzkhTVZARDc1JCoxPCorN1dURElMSEdLXlRFQFNBXlJdXEtORkdZUUJRTScsKCpRT0NJXV9eWUZPRkkzJjZCRkdYX1BcT0JEWUxfWlREFRUNARFCR0BYCRYBDR9aCgADSFJBTkdTQldWSU1RVlNRQElJAAEcSFRJR0lQQVpXQUBVTVRFREFaWUxfVlJPERZTFBYCXRIDClBfTUI,,,Has query string: ?d=IAAAAAAgAAA6X1tPSEdGW1ZaWFdIR0dWSldVTUtUXV5AT0tFW1JcX15BTkVXSUVWTUNRVVJERENGUlhTWlZCQkFcQURaQUBYXFNJTE1FWVRfX1hLS09QSklSRktUX15AS0tAVFdVUlhIRFhTOxBNFQgRCxEcGBw3GQIrBQQbHxEFXlQyFRwADRcwHAMAKg4ADyQVFE5BHxUZQVxFDQwcChUaHVVOX0lZNSQgLTEvMTIpKydRQEdJXllAWFBXQkNXXE1CSE1VTVJCRERFWl5NWlREQk1SSkBWQ1NUXF5DSkJBWV5XX1ZaRUVcQkUCQhVRWwdfG0EQDEJaWgNBXk1VQhVMRklWWFYXQRZDWw5dSFRKQ0lVUUVSTUNUXVpDSkVEXUxfX1hNQkFTR0FTSEFGX1pPGh8ZRwkbDApXBBsWUUZSTURUXVJRS0dJWUFeWlBIQkxCQExcOT01PCYhKjk7J0xdWlgrOjcpLSAkKCRGXVFPKyQ2Nik7JykmIDczNzEvU0NRUxMHGx4VHQYYDkZKREkFGwI%2BHhERBxUXJgAVGxsADhcmQEZRKkBZQFNdXl5DQENMXVhdSFZATjkuMD0tNVNRWF4iND04OxsMKDU0JxESBjZCQUJSUwAAHBEAABkLKBUULAARLQQOBxUXTVJAQU1HSl5cUlhNS0FZSEBSRkdXWldETy9DW19NX1JEITEmPzslNTxGWltPTUBaXV5cWkZMQ0kgPDAzPzkhTVZARDc1JCoxPCorN1dURElMSEdLXlRFQFNBXlJdXEtORkdZUUJRTScsKCpRT0NJXV9eWUZPRkkzJjZCRkdYX1BcT0JEWUxfWlREFRUNARFCR0BYCRYBDR9aCgADSFJBTkdTQldWSU1RVlNRQElJAAEcSFRJR0lQQVpXQUBVTVRFREFaWUxfVlJPERZTFBYCXRIDClBfTUI,,,No translation,,
https://www.rbccm.com/assets/rbccm/docs/expertise/electronic/efx-algo-overview.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/electronic/futures-algorithmic-trading.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/electronic/futures-execution-strategies.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/rbc-clear/celent-introducing-rbc-clear.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/rbc-clear/resources/content-set-up-connectivity-profile-using-swift-channel.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/rbc-clear/resources/content-setting-up-swift-file-act-transfer-service-using-host-to-host-channel.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/rbc-clear/resources/Machine-Readable-Statement-Enrollment-Form.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/expertise/rbc-clear/resources/MRSP_FAQs.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/gib/re_brochure_0520_global_re_capabilities.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/global-market/global-etf-desk-institutional-clients.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/global-market/global-etf-services-handout-october-2021.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/20230712-bib-canada.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/2024/ESG-investor-survey.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/2025/2025_global_esg_fixed_income_investor_survey_results.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/aiden-ethical-infographic.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/multipager-sustainability-matters-accel-corp-impact.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/sustainability-matters-2022.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/sustainability-matters-2023.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/insights/XP_Brochure_1220_SSA_Maple_Roundtable_2020.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/2025-prudential-standard-cps-511-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/costs-and-charges-disclosures.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/currency-derivatives-swaps-forwards-other-interest-rates-derivatives-2022.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/currency-derivatives-swaps-forwards-other-interest-rates-derivatives.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/debt-instruments-bonds-2022.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/debt-instruments-bonds.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/equities-shares-depositary-receipts-tick-size-liquidity-bands-5-6-2022.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/equitties-shares-depositary-receipts-tick-size-liquidity-bands-5-6.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/execution-venues-under-the-best-execution-policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fia-clearing-member-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fixed-income/ficc-client-notice.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fixed-income/rbccm-apac-BestExecutionPolicy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fixed-income/rbccm-making-a-complaint-en.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fixed-income/rbccm-making-a-complaint-fr.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fixed-income/sales-literature-and-market-commentary-fr.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/fmsb-statement-of-commitment.pdf?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/futures-and-options-admitted-to-trading-on-a-trading-venue-2022.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/futures/871-rbccm-futures-customer-notification-letter.pdf?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/futures/ccpr-client-notification.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/futures/exchange-traded-derivatives-rulebooks.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/futures/rbc-DS-871m-customer-notification-letter.pdf?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/futures/rbc-european-limited-871m-customer-notification-letter.pdf?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/information-on-the-rbccm-best-execution-policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/information-on-the-rbccm-conflicts-management-policy-new.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/information-on-the-rbccm-conflicts-management-policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/information-rbccm-europe-allocation-pricing-securities-offerings-policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/interest-rate-derivatives-swaps-forwards-other-interest-rates-derivatives-2022.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/interest-rate-derivatives-swaps-forwards-other-interest-rates-derivatives.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/liquidity-provider-disclosure-cover-sheet.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RBC-Capital-Markets-Regulatory-Disclosures-Equities-and-Listed-Options.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbc-europe-limited-direct-client-indirect-clearing-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbc-europe-limited-emir-clearing-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbc-europe-limited-emir-pricing-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbc-europe-limited-equity-ioi-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbc-pmc-soc.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-best-execution-policy-client-disclosure-canada-fr.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-conflicts-of-interest-disclosure-june-2022.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-eligible-counterparty-terms-of-business.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-europe-equity-systematic-internaliser-commercial-policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-europe-gmbh-reglamento-para-la-defensa-del-cliente.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-europe-investment-recommendations.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-europe-minor-non-monetary-benefits-disclosure.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-europe-non-equity-systematic-internaliser-commercial-policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rbccm-professional-client-terms-of-business.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RBCPB-Non-Equity-Systematic-Internaliser-Commercial-Policy.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-2020- IRDs-Swaps-Fwds-Other-PB.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-2020-FX-Swaps-Fwds-Other-LB.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-2020-RBC-PB-RTO.XLSX,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-Commodities-April-2018.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-Equities-Final.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-Equity-Derivatives-Final-26-04-2018.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-Exchange-Traded-Derivatives-Final-26-04-2018.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-Fixed-Income-excluding-Structured-Rates-April-2018.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-Foreign-Exchange-April-2018.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-SFTs-April-2018.pdf,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/RTS-28-SRT-Final-26-04-2018.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/Cash-Bonds-RTS-27-Table-5-RBC-Europe-Limited-Q2-2020.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-001 Market Information - Type of Execution Venue - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-001 Market Information - Type of Execution Venue - 2019Q4.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-001 Market Information - Type of Execution Venue - 2020Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-001 Market Information - Type of Execution Venue -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-002 Instrument Identifier - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-002 Instrument Identifier - 2019Q4.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-002 Instrument Identifier - 2020Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-002 Instrument Identifier -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-003 Price Intra-Day - Price Information  - 2019Q4.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-003 Price Intra-Day - Price Information  -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-003 Price Intra-Day - Price Information - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-003 Price Intra-Day - Price Information - 2020Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-004 Price Information to Be Published  - 2019Q4.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-004 Price Information to Be Published  -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-004 Price Information to Be Published - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-004 Price Information to Be Published - 2020Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-006 Likelihood of Execution by Instrument  -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-006 Likelihood of Execution by Instrument - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-006 Likelihood of Execution by Instrument - 2020Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-007 Likelihood of Execution Additional Information  - 2019Q4.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-007 Likelihood of Execution Additional Information  -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-007 Likelihood of Execution Additional Information - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-007 Likelihood of Execution Additional Information - 2020Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-008 Additional Information by Continuous auction Book And Continuous Quote Driven Execution Venues  - 2019Q4.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-008 Additional Information by Continuous auction Book And Continuous Quote Driven Execution Venues  -- Daily 2019Q1.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-008 Additional Information by Continuous auction Book And Continuous Quote Driven Execution Venues - 2019Q3.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID RTS27-008 Additional Information.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-001-Market-Information-Type-of-Execution-Venue-Daily-2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-002-Instrument-Identifier-Daily-2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-003-Price-Intra-Day-Price-Information-Daily-2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-004-Price-Information-to-Be-Published-Daily-2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-006-Likelihood-of-Execution-by-Instrument-Daily-2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-007-Likelihood-of-Execution-Additional-Information-Daily 2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/MIFID-RTS27-008-Additional-Information-by-Continuous-auction-Book-And-Continuous-Quote-Driven-Execution-Venues-Daily-2019-Q2.csv,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-(Europe)-GmbH-Q1-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-(Europe)-GmbH-Q1-2020.xlsx?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-(Europe)-GmbH-Q2-2020.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-(Europe)-GmbH-Q3-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-(Europe)-GmbH-Q3-2020.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-(Europe)-GmbH-Q4-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Capital-Markets-Europe-GmbH-Q2-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q1-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q1-2020.xlsx?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q2-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q2-2020.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q3-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q3-2020.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-Europe-Limited-Q4-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-London-Branch-Q1-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-London-Branch-Q1-2020.xlsx?new,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-London-Branch-Q2-2019.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-London-Branch-Q2-2020.xlsx,,,,,,,,,
https://www.rbccm.com/assets/rbccm/docs/legal/rts/RTS-27-Table-5-RBC-London-Branch-Q3-2019.xlsx,,,,,,,,,
